epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,26898.8,1.28157,0.66745,1.47025,0.89648,0.7707,0.8003,0.49161,1.27982,0.51967,1.53207,0.00582435,0.00582435,0.00582435
137,27415.8,1.28757,0.67022,1.47629,0.8972,0.76917,0.80013,0.49171,1.2801,0.519,1.53207,0.00577311,0.00577311,0.00577311
138,27934.6,1.28445,0.66687,1.47513,0.89677,0.7698,0.80022,0.49174,1.27951,0.51848,1.53125,0.00572179,0.00572179,0.00572179
139,28455.5,1.28384,0.66613,1.48219,0.89626,0.77071,0.80047,0.49186,1.27965,0.51847,1.53112,0.0056704,0.0056704,0.0056704
140,28978,1.27828,0.66103,1.47881,0.89681,0.77065,0.80051,0.4923,1.27851,0.51797,1.53021,0.00561894,0.00561894,0.00561894
141,29497.9,1.2896,0.66567,1.48488,0.89657,0.7716,0.80097,0.49281,1.27818,0.51768,1.52986,0.00556742,0.00556742,0.00556742
142,30015.3,1.288,0.67,1.47503,0.89627,0.7716,0.80084,0.49212,1.27746,0.51732,1.52889,0.00551584,0.00551584,0.00551584
143,30533.9,1.28054,0.66561,1.4736,0.89708,0.77166,0.80088,0.49264,1.277,0.51712,1.52835,0.00546421,0.00546421,0.00546421
144,31053.4,1.29139,0.66293,1.48144,0.89723,0.77248,0.8012,0.49307,1.27705,0.51697,1.5282,0.00541253,0.00541253,0.00541253
145,31572.7,1.28716,0.66229,1.48111,0.89744,0.77208,0.80129,0.4928,1.27678,0.51647,1.52776,0.00536081,0.00536081,0.00536081
146,32092.5,1.28464,0.665,1.4782,0.89652,0.77297,0.80092,0.49317,1.27636,0.51653,1.52731,0.00530906,0.00530906,0.00530906
147,32614.8,1.28614,0.66081,1.48813,0.89662,0.77321,0.80099,0.49309,1.27586,0.51627,1.52696,0.00525728,0.00525728,0.00525728
148,33133.8,1.28244,0.66295,1.48104,0.89735,0.77303,0.80078,0.49309,1.27589,0.5162,1.52691,0.00520548,0.00520548,0.00520548
149,33655.7,1.27921,0.66287,1.47609,0.89773,0.77298,0.80104,0.49315,1.27657,0.51589,1.52723,0.00515366,0.00515366,0.00515366
150,34181.8,1.2817,0.65564,1.46987,0.89677,0.77422,0.80089,0.49308,1.2764,0.51567,1.52683,0.00510184,0.00510184,0.00510184
151,34705.4,1.2807,0.66518,1.47494,0.8979,0.77319,0.80124,0.49314,1.27648,0.5155,1.52692,0.00505,0.00505,0.00505
152,35225.1,1.27875,0.66117,1.46787,0.89806,0.7732,0.80128,0.49298,1.27628,0.51504,1.52651,0.00499816,0.00499816,0.00499816
153,35749.6,1.27502,0.65423,1.46724,0.89734,0.77444,0.80111,0.49314,1.27678,0.51465,1.52674,0.00494634,0.00494634,0.00494634
154,36269.8,1.27252,0.6531,1.47299,0.89788,0.7741,0.80069,0.49298,1.2764,0.51462,1.52633,0.00489452,0.00489452,0.00489452
155,36790.6,1.2754,0.65755,1.47845,0.89845,0.77451,0.80119,0.49293,1.27691,0.51416,1.52677,0.00484272,0.00484272,0.00484272
156,37312.4,1.2758,0.65974,1.46989,0.8976,0.77457,0.80096,0.49272,1.27765,0.51412,1.52707,0.00479094,0.00479094,0.00479094
157,37835.7,1.27255,0.65393,1.46443,0.8966,0.77533,0.80062,0.49265,1.27749,0.51374,1.52672,0.00473919,0.00473919,0.00473919
158,38358.4,1.27506,0.65514,1.46919,0.89706,0.77475,0.80086,0.49304,1.27708,0.51368,1.52631,0.00468747,0.00468747,0.00468747
159,38880.9,1.27314,0.65268,1.46997,0.89606,0.77566,0.80088,0.49314,1.27687,0.51354,1.52595,0.00463579,0.00463579,0.00463579
160,39394.4,1.27339,0.65086,1.46347,0.89598,0.77557,0.80096,0.4932,1.27629,0.51327,1.52517,0.00458416,0.00458416,0.00458416
161,39911.4,1.2652,0.65119,1.45724,0.8964,0.77525,0.8009,0.49402,1.27567,0.51284,1.5243,0.00453258,0.00453258,0.00453258
162,40424.6,1.2641,0.6558,1.46417,0.89752,0.77501,0.80143,0.49411,1.27496,0.51229,1.52359,0.00448106,0.00448106,0.00448106
163,40939.6,1.26092,0.64484,1.46205,0.89747,0.77589,0.80099,0.49416,1.27498,0.51213,1.52334,0.0044296,0.0044296,0.0044296
164,41454.3,1.26258,0.64766,1.45917,0.89824,0.77483,0.80075,0.49398,1.27425,0.51191,1.5225,0.00437821,0.00437821,0.00437821
165,41973.3,1.26278,0.64737,1.46204,0.89813,0.77499,0.80074,0.49488,1.27314,0.51156,1.52162,0.00432689,0.00432689,0.00432689
166,544.447,1.25861,0.63302,1.45869,0.89753,0.77604,0.80097,0.49493,1.27322,0.51156,1.52157,0.00427565,0.00427565,0.00427565
167,1045.26,1.27227,0.64918,1.46849,0.89709,0.77571,0.80076,0.49479,1.27356,0.51164,1.5218,0.00422449,0.00422449,0.00422449
168,1544.3,1.25905,0.64272,1.46544,0.89634,0.77662,0.80087,0.49469,1.27364,0.51147,1.52172,0.00417343,0.00417343,0.00417343
169,2047.92,1.26021,0.64317,1.46013,0.89874,0.77378,0.80044,0.49491,1.27352,0.51137,1.52154,0.00412246,0.00412246,0.00412246
170,2546.26,1.26613,0.64412,1.46346,0.89612,0.7771,0.8008,0.49513,1.27305,0.51112,1.52098,0.0040716,0.0040716,0.0040716
171,3048.18,1.2644,0.63856,1.46128,0.89804,0.77554,0.80074,0.49521,1.27259,0.51103,1.52021,0.00402084,0.00402084,0.00402084
172,3551.24,1.26232,0.64119,1.4612,0.8989,0.77574,0.80052,0.49549,1.27194,0.51096,1.51972,0.00397019,0.00397019,0.00397019
173,4049.47,1.26331,0.64117,1.46593,0.8981,0.77676,0.80097,0.49596,1.27184,0.51077,1.51963,0.00391966,0.00391966,0.00391966
174,4548.91,1.26075,0.64114,1.45901,0.89863,0.77708,0.80093,0.49604,1.27203,0.51057,1.51963,0.00386926,0.00386926,0.00386926
175,5051.88,1.2621,0.64178,1.45363,0.89802,0.77788,0.80123,0.49602,1.27135,0.51029,1.51904,0.00381899,0.00381899,0.00381899
176,5564.94,1.25584,0.63621,1.46422,0.89732,0.77808,0.80105,0.49606,1.2715,0.51027,1.51927,0.00376885,0.00376885,0.00376885
177,6070.62,1.26019,0.64389,1.46105,0.89629,0.77872,0.80112,0.49619,1.27098,0.50993,1.51878,0.00371885,0.00371885,0.00371885
178,6580.3,1.25879,0.63837,1.46308,0.89856,0.77711,0.80113,0.49616,1.27076,0.50977,1.51853,0.00366899,0.00366899,0.00366899
179,7089.59,1.25607,0.63515,1.46359,0.89597,0.77853,0.80107,0.49617,1.27014,0.5095,1.5181,0.00361929,0.00361929,0.00361929
